OrderID,OrderDate,CustomerID,Region,Category,SubCategory,Product,Quantity,UnitPrice,Sales,Profit
1001,2023-04-13,CUST436,North,Furniture,Tables,Table B,8,705,5640,955.25
1002,2023-05-02,CUST467,North,Furniture,Chairs,Chair C,7,335,2345,332.64
1003,2023-04-10,CUST360,West,Furniture,Chairs,Chair C,8,135,1080,58.45
1004,2023-09-15,CUST344,North,Technology,Accessories,Accessory B,6,390,2340,202.09
1005,2023-10-04,CUST161,East,OfficeSupplies,Paper,Paper A,6,257,1542,210.31
1006,2023-02-18,CUST475,West,OfficeSupplies,Binders,Binder A,3,880,2640,403.52
1007,2023-11-16,CUST131,East,OfficeSupplies,Paper,Paper B,5,823,4115,765.64
1008,2023-11-25,CUST167,North,OfficeSupplies,Art,Art B,2,392,784,186.94
1009,2023-01-14,CUST242,West,OfficeSupplies,Art,Art A,9,350,3150,219.03
1010,2023-12-06,CUST092,South,Furniture,Tables,Table A,7,432,3024,450.68
1011,2023-02-04,CUST206,South,OfficeSupplies,Binders,Binder A,1,936,936,80.91
1012,2023-01-02,CUST390,East,Furniture,Chairs,Chair B,6,110,660,107.94
1013,2023-07-10,CUST402,West,OfficeSupplies,Paper,Paper B,2,206,412,94.33
1014,2023-09-27,CUST351,East,OfficeSupplies,Binders,Binder A,8,466,3728,332.52
1015,2023-07-09,CUST296,East,Technology,Accessories,Accessory A,5,724,3620,722.06
1016,2023-02-22,CUST280,North,Technology,Laptops,Laptop A,9,768,6912,1184.76
1017,2023-02-10,CUST157,East,OfficeSupplies,Art,Art A,1,861,861,212.99
1018,2023-12-10,CUST129,South,Furniture,Chairs,Chair C,8,476,3808,201.12
1019,2023-03-22,CUST392,West,Technology,Phones,Phone C,3,423,1269,259.2
1020,2023-09-18,CUST490,North,Technology,Accessories,Accessory A,7,45,315,73.39
1021,2023-07-20,CUST328,East,Technology,Phones,Phone C,2,37,74,4.64
1022,2023-03-03,CUST216,North,OfficeSupplies,Art,Art B,5,103,515,86.65
1023,2023-08-02,CUST475,South,OfficeSupplies,Binders,Binder B,3,965,2895,366.46
1024,2023-05-11,CUST257,West,Technology,Accessories,Accessory A,5,222,1110,107.89
1025,2023-12-25,CUST283,West,Technology,Phones,Phone B,9,211,1899,257.33
1026,2023-02-11,CUST380,South,Furniture,Bookcases,Bookcase B,3,579,1737,398.04
1027,2023-08-29,CUST052,South,OfficeSupplies,Binders,Binder A,4,738,2952,229.86
1028,2023-08-19,CUST237,East,OfficeSupplies,Paper,Paper B,4,529,2116,138.38
1029,2023-07-06,CUST243,West,Technology,Laptops,Laptop A,6,800,4800,1132.51
1030,2023-02-14,CUST062,South,Technology,Laptops,Laptop B,9,650,5850,826.65
1031,2023-04-18,CUST044,East,Furniture,Chairs,Chair A,4,802,3208,727.11
1032,2023-05-08,CUST348,West,Furniture,Chairs,Chair C,9,235,2115,489.34
1033,2023-10-10,CUST446,South,Technology,Phones,Phone B,9,632,5688,685.48
1034,2023-09-16,CUST359,West,Technology,Accessories,Accessory A,6,460,2760,432.82
1035,2023-11-14,CUST165,North,OfficeSupplies,Binders,Binder A,1,823,823,85.5
